Division,Median weekly household income,Median weekly rent,Median monthly mortgage repayments
Adelaide,1298,300,1733
Aston,1561,351,1733
Ballarat,1182,250,1400
Banks,1598,420,2167
Barker,1076,190,1157
Barton,1601,462,2167
Bass,1033,220,1257
Bean,2036,370,2000
Bendigo,1179,250,1400
Bennelong,1817,462,2207
Berowra,2256,532,2500
Blair,1325,295,1530
Blaxland,1222,390,1950
Bonner,1742,400,2015
Boothby,1329,300,1733
Bowman,1521,386,1950
Braddon,990,200,1170
Bradfield,2341,550,2800
Brand,1533,350,1950
Brisbane,1871,400,2167
Bruce,1198,300,1517
Burt,1539,350,1900
Calare,1207,250,1560
Calwell,1329,320,1684
Canberra,2091,395,2167
Canning,1341,320,1950
Capricornia,1420,250,1733
Casey,1501,325,1733
Chifley,1477,350,1960
Chisholm,1472,390,2000
Clark,1224,265,1408
Cook,1805,450,2500
Cooper,1454,340,1950
Corangamite,1378,320,1668
Corio,1201,270,1500
Cowan,1620,380,1993
Cowper,1000,290,1517
Cunningham,1372,330,2000
Curtin,2052,400,2500
Dawson,1376,275,1758
Deakin,1547,350,1809
Dickson,1761,350,1900
Dobell,1268,340,1733
Dunkley,1381,310,1688
Durack,1656,188,1733
Eden-Monaro,1349,255,1733
Fadden,1417,395,1950
Fairfax,1297,370,1750
Farrer,1149,200,1300
Fenner,2066,380,2037
Fisher,1251,375,1820
Flinders,1219,305,1730
Flynn,1384,225,1733
Forde,1463,360,1777
Forrest,1361,310,1757
Fowler,1212,334,1733
Franklin,1251,270,1439
Fraser,1231,300,1517
Fremantle,1713,380,2100
Gellibrand,1725,350,2000
Gilmore,1038,280,1517
Gippsland,1058,210,1300
Goldstein,2018,421,2400
Gorton,1496,305,1700
Grayndler,2093,485,2600
Greenway,1941,410,2200
Grey,1032,180,1160
Griffith,1902,400,2167
Groom,1298,282,1535
Hasluck,1527,350,1950
Herbert,1392,295,1733
Higgins,1903,395,2186
Hindmarsh,1213,280,1644
Hinkler,947,275,1400
Holt,1573,341,1733
Hotham,1442,371,2000
Hughes,2088,445,2383
Hume,1628,325,2000
Hunter,1294,290,1733
Indi,1116,220,1300
Isaacs,1578,351,2000
Jagajaga,1724,350,1993
Kennedy,1197,225,1517
Kingsford Smith,1794,530,2520
Kingston,1229,290,1456
Kooyong,2036,401,2479
La Trobe,1609,335,1750
Lalor,1530,310,1692
Leichhardt,1302,275,1680
Lilley,1588,360,1950
Lindsay,1612,365,2000
Lingiari,1757,113,2167
Longman,1256,320,1733
Lyne,967,260,1517
Lyons,1014,210,1248
Macarthur,1573,360,1950
Mackellar,2056,550,2700
Macnamara,1864,420,2167
Macquarie,1556,355,1950
Makin,1285,300,1500
Mallee,974,185,1083
Maranoa,1083,200,1300
Maribyrnong,1604,346,2000
Mayo,1248,280,1517
McEwen,1660,325,1750
McMahon,1412,390,2000
McPherson,1395,400,1928
Melbourne,1488,425,2000
Menzies,1760,410,2000
Mitchell,2268,550,2500
Monash,1066,230,1374
Moncrieff,1261,370,1800
Moore,2002,410,2100
Moreton,1602,380,1950
New England,1089,230,1365
Newcastle,1398,340,1800
Nicholls,1112,210,1300
North Sydney,2352,560,2700
O'Connor,1325,225,1517
Oxley,1557,350,1750
Page,998,260,1387
Parkes,1143,190,1300
Parramatta,1596,410,2000
Paterson,1236,300,1680
Pearce,1658,360,2076
Perth,1700,380,2042
Petrie,1387,350,1800
Rankin,1431,340,1720
Reid,1898,520,2300
Richmond,1099,350,1733
Riverina,1147,220,1300
Robertson,1304,355,1900
Ryan,1952,405,2167
Scullin,1388,330,1733
Shortland,1262,325,1733
Solomon,2160,420,2167
Spence,1052,250,1300
Stirling,1475,350,1986
Sturt,1366,300,1733
Swan,1527,360,2000
Sydney,1933,571,2500
Tangney,1797,400,2142
Wannon,1095,200,1233
Warringah,2384,580,2970
Watson,1281,380,2000
Wentworth,2380,610,3000
Werriwa,1572,380,2080
Whitlam,1303,330,1800
Wide Bay,1009,260,1400
Wills,1494,355,1950
Wright,1482,315,1820
